NOC ,NVDA,LMT ,DXC ,RTN ,STZ ,CTAS ,MSCI ,HRS ,HII,UNH,GD,AVGO,FISV,BA,ADBE,SPGI,GPN,ALGN,EA,CME ,ETFC,PGR ,NFLX ,NDAQ ,AMZN,TTWO ,FB ,IDXX ,TSS UN,WM UN,MA UN,AOS,ITW,MAR,MMC,CBOE,HUM,SYK,ANTM ,TDG,LRCX ,RSG ,MSFT ,V ,BSX ,BDX ,DPS ,LUV,ATVI
75.348,13.703,92.689,10.336,60.402,51.879,42.479,33.509,45.628,52.647,58.47,70.291,31.606,22.348,88.613,42.91,51.054,23.295,36.45,23.26,51.135,11.76,23.138,30.599,28.895,267.29,16.28,24.1,42.235,22.667,36.798,54.076,17.802,63.383,40.565,36.493,37.722,77.495,63.272,72.426,93.958,45.149,30.458,30.989,41.691,9.22,93.586,42.683,13.697,15.146
75.137,13.618,92.311,10.42,59.822,51.956,42.055,33.682,45.898,51.89,58.479,69.984,31.597,21.948,87.71,42.6,50.763,23.851,35.97,23.16,52.799,11.75,23.058,30.763,29.005,265.53,16.45,23.32,41.85,22.495,36.321,53.819,17.652,63.122,39.72,36.205,37.703,78.139,62.639,71.764,93.109,44.417,29.939,30.865,41.254,9.16,92.567,41.699,13.563,14.694
76.624,13.797,93.067,10.604,60.027,52.742,42.789,34.169,45.781,52.325,59.689,70.725,34.708,22.125,88.993,43.19,51.814,24.199,36.18,23.35,54.485,11.8,22.978,31.809,29.519,266.83,16.66,24.55,41.605,22.571,36.537,54.115,17.83,63.473,39.899,36.511,37.805,79.881,62.75,73.034,92.59,45.32,30.458,30.998,41.923,9.27,92.576,41.26,13.697,14.415
75.614,13.646,92.024,10.673,59.412,51.432,42.93,33.701,44.974,52.259,57.815,69.596,34.625,21.79,87.648,42.91,51.195,23.831,35.75,22.99,53.041,11.62,22.719,32.321,28.886,269.2,16.64,24.35,41.22,22.372,36.347,53.56,17.875,63.086,39.42,36.06,37.313,77.716,61.856,70.816,92.59,44.445,29.974,30.883,41.254,9.24,90.556,40.399,13.601,13.877
76.211,13.627,91.685,10.695,59.055,51.821,42.986,33.634,45.27,51.539,57.972,70.021,34.231,21.803,89.17,43.46,51.617,23.921,36.85,22.99,53.697,11.58,22.407,31.71,28.518,266.88,16.26,23.85,41.465,22.334,36.078,54.092,17.802,63.806,39.598,36.385,37.573,77.572,62.713,71.304,94.351,45.842,30.212,31.493,41.729,9.41,91.088,41.313,13.476,14.069
75.642,13.646,91.363,10.724,59.154,50.559,42.695,33.452,44.929,51.927,57.565,69.696,34.69,21.577,88.17,44.39,51.261,23.662,35.88,22.72,54.009,11.46,22.3,32.187,28.317,265.7,16.08,23.52,41.845,22.324,36.208,53.369,17.437,63.006,37.919,35.979,37.155,77.139,62.145,71.249,93.642,45.586,30.018,30.962,41.731,9.15,90.326,41.216,13.399,13.838
74.752,13.354,90.076,10.695,58.396,50.404,42.178,32.783,44.435,51.52,57.002,69.217,33.955,21.303,87.179,43.84,50.491,23.419,35.38,22.88,54.087,11.1,21.864,31.923,28.5,267.17,15.98,22.9,41.79,22.067,35.836,52.557,17.401,62.232,37.9,35.511,37.117,76.196,61.241,69.629,93.445,44.92,29.728,30.776,41.041,9,89.445,40.847,13.12,13.752
75.486,13.439,90.754,10.867,58.824,50.782,42.535,33.28,44.956,52.24,57.159,70.273,33.726,21.37,88.303,43.57,50.745,23.424,35.19,23.28,54.166,11.39,21.819,31.106,29.244,267.83,16.08,22.97,42.025,22.048,35.495,53.062,17.588,62.601,38.482,36.006,37.647,76.946,61.828,70.679,95.518,45.006,29.587,30.936,41.534,9.18,90.211,40.487,12.995,14.059
76.982,13.627,93.354,11.183,60.099,51.753,43.071,33.184,45.171,53.016,57.759,71.42,34.221,21.63,90.719,44.12,51.373,23.478,35.45,23.61,56.586,11.76,22.095,31.46,30.19,276.87,16.98,23.29,41.94,22.295,35.39,53.184,17.684,63.599,39.092,36.448,38.298,77.947,62.564,71.557,94.972,45.985,29.816,31.564,41.671,9.3,91.078,40.706,13.361,14.165
76.863,13.618,92.754,11.023,59.688,51.229,43.08,33.376,45.171,53.621,58.784,70.932,33.799,21.605,90.498,44.09,51.448,23.692,35.29,22.87,57.38,11.87,22.086,31.561,30.226,281.07,16.54,24.33,41.99,22.276,35.373,53.14,17.711,63.437,38.923,36.367,39.237,78.669,62.657,73.564,95.055,46.108,29.64,31.387,42.224,9.45,90.921,41.339,13.457,13.992
76.147,13.363,92.137,10.795,59.323,50.608,42.695,33.069,44.677,53.025,59.015,70.562,33.304,21.665,90.064,43.12,51.101,23.747,34.77,22.6,56.893,11.53,21.971,30.637,29.492,274.78,16.81,24.03,42.53,22.067,35.207,52.639,17.479,63.06,38.322,36.241,38.865,78.303,62.266,72.473,93.483,44.521,29.64,30.83,41.606,9.44,90.728,40.996,13.428,13.655
75.816,13.25,93.085,10.676,59.474,49.977,42.385,32.563,44.005,52.306,58.922,70.68,33.019,21.483,89.294,42.72,51.186,23.702,34.22,21.54,56.806,11.5,21.971,29.663,28.893,271.67,15.37,23.77,42.965,21.829,35.102,52.408,17.433,62.43,38.088,35.88,38.567,77.841,61.837,72.186,92.038,44.065,29.526,30.971,41.488,9.42,90.137,41.295,13.351,13.636
76.046,13.552,93.885,10.787,60.33,50.462,43.184,32.84,44.848,52.987,59.479,70.472,34.256,21.973,90.427,43.3,51.683,24.065,34.67,21.49,58.268,11.68,22.131,30.77,30.036,275.79,15.5,23.73,44.68,22.609,34.84,53.886,17.629,63.41,38.557,36.322,39.293,78.37,63.095,72.981,92.323,45.092,29.869,30.723,42.206,9.58,90.995,41.463,13.457,13.954
76.064,13.533,93.65,10.847,60.099,50.472,42.855,32.668,44.695,53.082,59.154,70.409,34.699,21.745,90.135,42.84,51.364,23.931,35.02,21.81,58.386,11.44,22.015,30.57,30.054,273.99,15.46,23.63,44.64,22.324,34.7,53.645,17.588,63.185,38.256,35.997,39.571,77.86,62.62,72.269,94.288,44.73,29.939,30.44,41.9,9.51,91.032,41.57,13.351,14.002
76.789,13.665,94.145,10.93,60.428,50.792,43.165,32.993,44.722,53.29,59.683,70.752,35.161,21.973,91.197,43.39,51.664,24.04,35.87,22.43,60.036,11.9,22.3,32.747,30.46,278.06,15.59,24.02,45.44,22.219,35.373,54.306,17.811,63.572,38.153,36.322,40.092,79.121,63.179,72.833,96.481,44.911,30.036,30.971,42.229,9.64,92.444,41.72,13.264,14.165
77.028,13.58,94.65,11.048,60.687,51.025,43.466,33.079,44.938,54.549,60.897,71.176,35.77,22.16,92.127,43.36,52.631,24.298,36.25,23.03,60.736,12.09,22.55,32.69,30.598,281.76,15.66,24.21,45.245,22.219,35.723,54.89,17.907,64.166,38.303,36.457,40.315,80.429,63.049,73.638,99.402,45.301,30.546,30.953,42.613,9.54,92.656,42.013,13.341,14.03
76.156,13.995,92.98,11.024,59.644,50.161,42.921,32.496,44.722,53.612,60.508,69.957,35.142,22.04,90.507,45.78,52.096,23.836,36.1,22.84,59.698,12.05,22.291,33.187,30.156,278.16,15.36,24.31,44.525,21.98,35.128,55.074,17.684,63.347,37.928,35.574,39.915,80.968,61.912,72.602,99.396,44.759,29.974,30.608,42.294,9.4,91.171,41.277,13.178,13.684
75.229,13.618,91.337,10.726,58.94,48.881,42.526,31.989,43.466,52.931,59.154,68.811,34.21,21.508,88.197,44.9,51.214,23.215,35.48,22.15,60.587,12.14,21.935,31.931,30.192,273.44,15.12,23.9,44.09,21.617,34.577,53.792,16.79,62.124,36.643,35.051,39.581,80.458,60.328,71.641,99.586,42.574,29.35,29.635,41.328,9.11,88.826,40.197,13.024,13.348
75.119,13.599,91.354,10.724,58.94,48.987,42.441,31.625,43.583,52.098,59.247,68.784,34.505,21.625,88.498,44.77,51.064,22.793,35.84,21.98,60.351,12.24,21.881,30.986,30.026,273.36,15.04,24.53,44.95,21.77,34.857,53.845,16.685,61.557,36.53,35.448,39.609,81.689,61.12,73.416,102.97,42.754,29.403,29.44,41.569,9.14,88.623,40.338,12.976,13.03
74.403,13.316,90.285,10.41,58.405,48.832,42.422,31.367,42.901,52.088,59.942,69.037,33.869,21.362,86.612,43.6,49.928,22.763,35.77,21.61,59.777,11.89,21.48,30.8,29.363,270.61,14.53,23.94,44.735,22.162,34.14,52.841,16.275,60.406,36.323,35.051,40.696,81.391,60.337,73.952,102.787,41.339,28.788,29.839,41.284,9.21,90.155,40.028,12.812,12.973
