"","County","State","index","Rate"
"472","Clarke County","MS","95.66",6.2
"473","Clarke County","VA","91.12",3.6
"474","Clatsop County","OR","83.92",4.6
"475","Clay County","AL","93.18",5.7
"476","Clay County","AR","97.64",4.8
"477","Clay County","IA","92.22",3.6
"478","Clay County","IL","95.87",5.6
"479","Clay County","IN","94.42",4.1
"480","Clay County","KS","95.56",3.9
"481","Clay County","KY","91.87",7.8
"482","Clay County","MN","89.35",2.5
"483","Clay County","MO","96.45",3.2
"484","Clay County","MS","96.69",6.9
"485","Clay County","NC","87.13",5
"486","Clay County","NE","93.21",2.6
"487","Clay County","SD","92.95",2.5
"488","Clay County","TN","94.35",6.4
"489","Clay County","TX","97.96",3.9
"490","Clay County","WV","90.43",9.1
"491","Clayton County","IA","92.32",3.7
"492","Clear Creek County","CO","79.03",2.7
"493","Clearfield County","PA","87.52",6.4
"494","Clearwater County","ID","82.83",7.4
"495","Clearwater County","MN","87.57",7.8
"496","Cleburne County","AL","93.17",5.6
"497","Cleburne County","AR","96.34",5
"498","Clermont County","OH","93.05",3.9
"499","Cleveland County","AR","98.04",4
"500","Cleveland County","NC","93.07",5.2
"501","Cleveland County","OK","97.54",3.7
"502","Clinton County","IA","93.83",4.4
"503","Clinton County","IL","96.73",3.8
"504","Clinton County","IN","92.87",3.4
"505","Clinton County","KY","93.32",5.4
"506","Clinton County","MI","90.88",3
"507","Clinton County","MO","95.76",3.3
"508","Clinton County","NY","88.00",4.9
"509","Clinton County","OH","91.76",5
"510","Clinton County","PA","88.17",5.7
"511","Cloud County","KS","95.04",4.4
"512","Coahoma County","MS","97.55",7.3
"513","Coal County","OK","98.62",6.5
"514","Cochise County","AZ","86.97",5.5
"515","Cochran County","TX","89.37",5.2
"516","Cocke County","TN","90.43",5.7
"517","Coconino County","AZ","84.44",5.5
"518","Codington County","SD","89.92",2.8
"519","Coffee County","AL","95.17",5.5
"520","Coffee County","TN","93.06",4.7
"521","Coffey County","KS","96.75",5.5
"522","Coke County","TX","93.18",3.6
"523","Colbert County","AL","95.70",6.4
"524","Cole County","MO","97.07",2.8
"525","Coleman County","TX","94.37",5.4
"526","Coles County","IL","94.76",5.3
"527","Colfax County","NE","93.08",2.4
"528","Colfax County","NM","83.07",6.4
"529","Colleton County","SC","95.61",4.3
"530","Collin County","TX","98.24",3.2
"531","Collingsworth County","TX","94.49",3.1
"532","Colorado County","TX","97.33",4.5
"533","Columbia County","AR","97.68",5.2
"534","Columbia County","NY","88.98",3.5
"535","Columbia County","OR","85.15",5.7
"536","Columbia County","PA","89.45",4.6
"537","Columbia County","WA","84.51",7
"538","Columbia County","WI","91.17",3.2
"539","Columbiana County","OH","89.44",5.9
"540","Columbus County","NC","95.52",6
"541","Colusa County","CA","89.42",15.3
"542","Comal County","TX","95.88",3.5
"543","Comanche County","KS","95.05",2.8
"544","Comanche County","OK","96.72",4.4
"545","Comanche County","TX","95.43",4
"546","Concho County","TX","93.89",2.6
"547","Conecuh County","AL","95.24",7.9
"548","Conejos County","CO","81.24",3.8
"549","Contra Costa County","CA","85.79",4.1
"550","Converse County","WY","83.96",5.1
"551","Conway County","AR","97.23",5
"552","Cook County","IL","93.04",5.7
"553","Cook County","MN","85.40",4.6
"554","Cooke County","TX","98.05",3.7
"555","Cooper County","MO","96.62",3.7
"556","Coos County","NH","86.45",3.6
"557","Coos County","OR","82.53",6.2
"558","Coosa County","AL","94.81",6.4
"559","Copiah County","MS","95.95",5.9
"560","Corson County","SD","88.74",3.5
"561","Cortland County","NY","88.03",5.2
"562","Coryell County","TX","96.60",4.2
"563","Coshocton County","OH","90.76",6
"564","Costilla County","CO","80.95",3.6
"565","Cottle County","TX","95.10",4.6
"566","Cotton County","OK","97.80",4.5
"567","Cottonwood County","MN","91.19",5
"568","Covington County","AL","95.15",6.5
"569","Covington County","MS","95.68",4.9
"570","Cowley County","KS","96.49",4.2
"571","Cowlitz County","WA","85.02",6.8
"572","Craig County","OK","98.25",4.8
"573","Craig County","VA","87.10",4.8
"574","Craighead County","AR","97.65",2.8
"575","Crane County","TX","92.30",6.5
"576","Craven County","NC","94.85",5.1
"577","Crawford County","AR","96.70",3.4
"578","Crawford County","IA","92.18",4.4
"579","Crawford County","IL","95.39",5.2
"580","Crawford County","IN","94.16",4.9
"581","Crawford County","KS","97.76",4.4
"582","Crawford County","MI","87.81",6.9
"583","Crawford County","MO","96.04",4.8
"584","Crawford County","OH","90.59",6
"585","Crawford County","PA","88.59",5.5
"586","Crawford County","WI","92.12",4
"587","Creek County","OK","98.71",5.6
"588","Crenshaw County","AL","95.24",5.8
"589","Crittenden County","AR","97.76",4.2
"590","Crittenden County","KY","96.10",4.1
"591","Crockett County","TN","97.14",5
"592","Crockett County","TX","92.14",5.8
"593","Crook County","OR","81.39",6.5
"594","Crook County","WY","84.67",3.7
"595","Crosby County","TX","91.45",3.8
"596","Cross County","AR","97.71",4.1
"597","Crow Wing County","MN","88.78",4.9
"598","Crowley County","CO","88.93",2.8
"599","Culberson County","TX","88.49",3.4
"600","Cullman County","AL","94.79",4.6
"601","Culpeper County","VA","92.38",3.7
"602","Cumberland County","IL","95.07",4.8
"603","Cumberland County","KY","94.22",4.2
"604","Cumberland County","ME","87.31",3.1
"605","Cumberland County","NC","95.21",6.1
"606","Cumberland County","NJ","90.45",6.1
"607","Cumberland County","PA","90.26",3.7
"608","Cumberland County","TN","89.45",5.8
"609","Cumberland County","VA","93.22",4.7
"610","Cuming County","NE","92.76",2.8
"611","Currituck County","NC","91.22",4.9
